Seed,Methodology,Low_SES_Cost_mu_L,High_SES_Cost_mu_H,Per_Seed_RFD,Validity_Rate,Valid_Student_Count,Failed_Student_Count,Valid_Low_SES,Valid_High_SES
42,Unconstrained discrete search (DiCE-style),0.3270609318996416,0.12455197132616487,0.20250896057347673,1.0,15,15,9,6
43,Unconstrained discrete search (DiCE-style),0.17050691244239632,0.25,0.07949308755760368,1.0,8,8,7,1
44,Unconstrained discrete search (DiCE-style),0.3129032258064516,0.15188172043010753,0.16102150537634405,1.0,7,7,5,2
45,Unconstrained discrete search (DiCE-style),0.1597542242703533,0.1866359447004608,0.026881720430107503,1.0,14,14,7,7
46,Unconstrained discrete search (DiCE-style),0.23225806451612901,0.2876344086021505,0.05537634408602149,1.0,7,7,5,2
47,Unconstrained discrete search (DiCE-style),0.26401689708141324,0.09767025089605734,0.16634664618535588,1.0,17,17,14,3
48,Unconstrained discrete search (DiCE-style),0.2959976105137396,0.146505376344086,0.14949223416965357,0.9166666666666666,11,12,9,2
49,Unconstrained discrete search (DiCE-style),0.2072879330943847,0.021505376344086023,0.18578255675029867,1.0,10,10,9,1
50,Unconstrained discrete search (DiCE-style),0.08064516129032259,0.10819892473118281,0.02755376344086022,0.9375,15,16,11,4
51,Unconstrained discrete search (DiCE-style),0.197702834799609,0.12163978494623656,0.07606304985337245,1.0,15,15,11,4
42,Actionability-constrained search (Ustun-aligned bounds),0.5002986857825567,0.12992831541218638,0.37037037037037024,1.0,15,15,9,6
43,Actionability-constrained search (Ustun-aligned bounds),0.17050691244239632,0.25,0.07949308755760368,1.0,8,8,7,1
44,Actionability-constrained search (Ustun-aligned bounds),0.5333333333333333,0.375,0.15833333333333333,1.0,7,7,5,2
45,Actionability-constrained search (Ustun-aligned bounds),0.19700460829493086,0.21908602150537634,0.02208141321044549,0.9285714285714286,13,14,7,6
46,Actionability-constrained search (Ustun-aligned bounds),0.5333333333333333,0.385752688172043,0.14758064516129032,1.0,7,7,5,2
47,Actionability-constrained search (Ustun-aligned bounds),0.3826804915514592,0.18100358422939067,0.20167690732206855,1.0,17,17,14,3
48,Actionability-constrained search (Ustun-aligned bounds),0.41935483870967744,0.646505376344086,0.22715053763440857,0.9166666666666666,11,12,9,2
49,Actionability-constrained search (Ustun-aligned bounds),0.27956989247311825,0.021505376344086023,0.25806451612903225,0.9,9,10,8,1
50,Actionability-constrained search (Ustun-aligned bounds),0.15786901270772238,0.25,0.09213098729227762,0.875,14,16,11,3
51,Actionability-constrained search (Ustun-aligned bounds),0.207258064516129,0.17876344086021506,0.02849462365591393,0.9333333333333333,14,15,10,4
42,Fairness-weighted discrete search,0.5002986857825567,0.12992831541218638,0.37037037037037024,1.0,15,15,9,6
43,Fairness-weighted discrete search,0.17050691244239632,0.25,0.07949308755760368,1.0,8,8,7,1
44,Fairness-weighted discrete search,0.5333333333333333,0.375,0.15833333333333333,1.0,7,7,5,2
45,Fairness-weighted discrete search,0.19700460829493086,0.21908602150537634,0.02208141321044549,0.9285714285714286,13,14,7,6
46,Fairness-weighted discrete search,0.5333333333333333,0.385752688172043,0.14758064516129032,1.0,7,7,5,2
47,Fairness-weighted discrete search,0.3826804915514592,0.18100358422939067,0.20167690732206855,1.0,17,17,14,3
48,Fairness-weighted discrete search,0.41935483870967744,0.646505376344086,0.22715053763440857,0.9166666666666666,11,12,9,2
49,Fairness-weighted discrete search,0.27956989247311825,0.021505376344086023,0.25806451612903225,0.9,9,10,8,1
50,Fairness-weighted discrete search,0.15786901270772238,0.25,0.09213098729227762,0.875,14,16,11,3
51,Fairness-weighted discrete search,0.207258064516129,0.17876344086021506,0.02849462365591393,0.9333333333333333,14,15,10,4
42,Proposed SES-Sensitive Difficulty-Weighted Recourse,0.5002986857825567,0.12992831541218638,0.37037037037037024,1.0,15,15,9,6
43,Proposed SES-Sensitive Difficulty-Weighted Recourse,0.17050691244239632,0.25,0.07949308755760368,1.0,8,8,7,1
44,Proposed SES-Sensitive Difficulty-Weighted Recourse,0.5333333333333333,0.375,0.15833333333333333,1.0,7,7,5,2
45,Proposed SES-Sensitive Difficulty-Weighted Recourse,0.19700460829493086,0.21908602150537634,0.02208141321044549,0.9285714285714286,13,14,7,6
46,Proposed SES-Sensitive Difficulty-Weighted Recourse,0.5333333333333333,0.385752688172043,0.14758064516129032,1.0,7,7,5,2
47,Proposed SES-Sensitive Difficulty-Weighted Recourse,0.3826804915514592,0.18100358422939067,0.20167690732206855,1.0,17,17,14,3
48,Proposed SES-Sensitive Difficulty-Weighted Recourse,0.41935483870967744,0.646505376344086,0.22715053763440857,0.9166666666666666,11,12,9,2
49,Proposed SES-Sensitive Difficulty-Weighted Recourse,0.29469086021505375,0.021505376344086023,0.27318548387096775,0.9,9,10,8,1
50,Proposed SES-Sensitive Difficulty-Weighted Recourse,0.15786901270772238,0.25,0.09213098729227762,0.875,14,16,11,3
51,Proposed SES-Sensitive Difficulty-Weighted Recourse,0.2193548387096774,0.17876344086021506,0.040591397849462335,0.9333333333333333,14,15,10,4
42,Manifold nearest-neighbor recourse baseline,0.40113500597371565,0.16980286738351255,0.2313321385902031,1.0,15,15,9,6
43,Manifold nearest-neighbor recourse baseline,0.17204301075268819,0.5,0.3279569892473118,1.0,8,8,7,1
44,Manifold nearest-neighbor recourse baseline,0.5333333333333333,0.5,0.033333333333333326,1.0,7,7,5,2
45,Manifold nearest-neighbor recourse baseline,0.23425499231950844,0.14301075268817204,0.0912442396313364,0.8571428571428571,12,14,7,5
46,Manifold nearest-neighbor recourse baseline,0.5999999999999999,0.510752688172043,0.08924731182795687,1.0,7,7,5,2
47,Manifold nearest-neighbor recourse baseline,0.39170506912442393,0.19892473118279566,0.19278033794162827,1.0,17,17,14,3
48,Manifold nearest-neighbor recourse baseline,0.5860215053763441,0.4610215053763441,0.125,1.0,12,12,10,2
49,Manifold nearest-neighbor recourse baseline,0.36081242532855434,0.021505376344086023,0.33930704898446834,1.0,10,10,9,1
50,Manifold nearest-neighbor recourse baseline,0.21236559139784947,0.39381720430107525,0.18145161290322578,1.0,16,16,12,4
51,Manifold nearest-neighbor recourse baseline,0.303030303030303,0.17876344086021506,0.12426686217008792,1.0,15,15,11,4
